age,female,total_trips,d1_drive,d1_pt,d1_cycle,d1_walk,d2_drive,d2_pt,d2_cycle,d2_walk,d3_drive,d3_pt,d3_cycle,d3_walk,d4_drive,d4_pt,d4_cycle,d4_walk,d5_drive,d5_pt,d5_cycle,d5_walk,cluster,user_id
60,0,1.7586436892707695,0.2918040742754339,0.2396493392452574,0.2230608047552431,0.2454857817240655,0.5402782056427602,0.1666924253234274,0.1485821928190975,0.1444471762147147,0.3787878328278454,0.2093978052328356,0.2053996591079011,0.2064147028314177,0.5809125913188907,0.1474034746614838,0.1381480770545242,0.1335358569651012,0.2842482165590956,0.2937586641195918,0.2080438297884503,0.2139492895328622,0,1
53,1,3.530951456740256,0.4067814791405783,0.1955489265410991,0.1967937986334551,0.2008757956848673,0.4012466334968675,0.182873631895967,0.2165080047240086,0.1993717298831568,0.3942754426774479,0.2130595529649639,0.1989757389352637,0.1936892654223243,0.3595533946610867,0.2542121095923993,0.1872182195380612,0.1990162762084525,0.377712305937193,0.229764148910468,0.1987919588416015,0.1937315863107372,0,2
37,0,3.993016226624,0.3175488773041907,0.224130333342888,0.2197724416070867,0.2385483477458345,0.5405023346408094,0.1449698765747043,0.1511801469795263,0.1633476418049599,0.5846280919460214,0.1374410780833237,0.1399936226576182,0.1379372073130366,0.4196856444946404,0.2329830685711954,0.1752689103071885,0.1720623766269756,0.4655128669863155,0.1967978668945383,0.1718388018639258,0.1658504642552204,0,3
40,1,3.402184874760862,0.3802801938380688,0.1997171179325206,0.1997857229696971,0.2202169652597135,0.3866723668435373,0.2156099226321648,0.1949473215024541,0.2027703890218438,0.5699876305406067,0.1513619472034108,0.1413219405445811,0.1373284817114012,0.4271888204263159,0.20862110114642,0.1814283888305988,0.1827616895966652,0.4502415799542886,0.1842493010320456,0.1883445364766728,0.1771645825369928,0,4
27,1,3.75978922240541,0.5758130193885341,0.1412533780896577,0.1477102432864455,0.1352233592353625,0.4495601558572179,0.1781403105386564,0.1778215387045144,0.1944779948996112,0.4918936431132899,0.1668115823823278,0.170415671933153,0.1708791025712291,0.5180721397340214,0.1549913321197907,0.1605997275765963,0.1663368005695915,0.2640176288924832,0.3455081629536935,0.1965749355567693,0.1938992725970538,0,5
37,0,4.494377330788051,0.3632696971823906,0.225775879731536,0.2199680745840904,0.1909863485019827,0.5789439505957525,0.1407811388137613,0.138176730171402,0.1420981804190839,0.5376602362828516,0.159687774390941,0.1500455067282825,0.1526064825979247,0.3461294841362146,0.2406695860276998,0.2018166377556799,0.2113842920804056,0.4733208303456049,0.1672360159940932,0.183055217489256,0.1763879361710457,0,6
46,0,1.3814188715909737,0.4056134639391013,0.1773725977045026,0.1953750921621568,0.2216388461942391,0.5619131121496403,0.147155843961697,0.1437824199197976,0.1471486239688651,0.443404865941299,0.1902458994666702,0.1856612070949231,0.1806880274971075,0.4618544617432106,0.1828411632674896,0.1829970915595007,0.172307283429799,0.302463572179191,0.2220683638236216,0.2476434286034358,0.2278246353937514,0,7
20,1,1.6023440646277178,0.5419819942594659,0.1607483342141431,0.1530951872666801,0.1441744842597109,0.5783579603290175,0.1458058434824755,0.1427484155962059,0.1330877805923011,0.4562909823192026,0.1824291739509057,0.180560779360213,0.1807190643696785,0.5090229941984252,0.1722743124159213,0.1646836174881369,0.1540190758975166,0.3581953614878748,0.2304841572135758,0.2010914164278987,0.2102290648706505,0,8
53,0,3.2310683348191565,0.3331853324945688,0.2090478030712124,0.2087254457661027,0.2490414186681159,0.4977389946142203,0.1601242250748438,0.1751837624160678,0.1669530178948679,0.3437225021770348,0.2202181599467389,0.2132556275543997,0.2228037103218265,0.4664706196665111,0.1830911116068143,0.1822629197843494,0.168175348942325,0.4866755401935235,0.2123882273529596,0.1485427077856506,0.1523935246678662,0,9
56,1,1.7777815049203205,0.4066531618135051,0.2083563232654493,0.2018652451855519,0.1831252697354934,0.5803782010823635,0.1348800522541768,0.1467312674263601,0.1380104792370995,0.307480527985806,0.2381060176723395,0.2234106385556873,0.231002815786167,0.3497786029866912,0.2395393760397157,0.2062650921409311,0.204416928832662,0.2703171120377277,0.2941158451292064,0.2184039259736635,0.2171631168594023,0,10
